Date,Sentiment_Score
2022-06-22,0.07995568181818181
2022-06-23,0.07316714285714286
2022-06-24,0.046260256410256405
2022-06-25,0.007322580645161285
2022-06-26,-0.024484210526315785
2022-06-27,0.15443571428571432
2022-06-28,0.07593823529411765
2022-07-01,0.06998764044943821
2022-07-02,0.013304545454545453
2022-07-03,-0.06662962962962962
2022-07-04,0.053816666666666665
2022-07-05,0.1446329268292683
2022-07-06,0.10944404761904762
2022-07-07,0.07685657894736843
2022-07-08,0.12049620253164557
2022-07-09,0.08047777777777777
2022-07-10,0.09249130434782608
2022-07-11,0.04248533333333334
2022-07-12,0.0678842105263158
2022-07-13,0.10304574468085105
2022-07-14,0.15008307692307693
2022-07-15,0.10429367088607595
2022-07-16,0.05659666666666666
2022-07-17,0.09698214285714286
2022-07-18,0.11438620689655171
2022-07-19,0.08459090909090909
2022-07-20,0.12517090909090908
2022-07-21,0.15333875
2022-07-22,0.2455264367816092
2022-07-23,0.09737241379310346
2022-07-24,0.11593333333333333
2022-07-25,0.15422183908045978
2022-07-26,0.1265663157894737
2022-07-27,0.12408125
2022-07-28,0.17848990825688074
2022-07-29,0.13224485981308412
2022-08-01,0.1782270588235294
2022-08-02,0.1234108695652174
2022-08-03,0.14067241379310344
2022-08-04,0.09641279069767443
2022-08-05,0.1143420634920635
2022-08-06,0.08798
2022-08-07,0.1453
2022-08-08,0.1414987951807229
2022-08-09,0.035118333333333335
2022-08-10,0.164692
2022-08-11,0.11974520547945204
2022-08-12,0.15983333333333333
2022-08-13,0.14331000000000002
2022-08-14,0.10714285714285714
2022-08-15,0.10642058823529411
2022-08-16,0.1937853333333333
2022-08-17,0.11072571428571429
2022-08-18,0.12577246376811593
2022-08-19,0.14511142857142856
2022-08-20,0.03316190476190476
2022-08-21,-0.08305757575757576
2022-08-22,0.12943529411764704
2022-08-23,0.07735735294117647
2022-08-24,0.06656
2022-08-25,0.06139870129870129
2022-08-26,0.07264923076923077
2022-08-27,0.13558148148148147
2022-08-28,0.05762068965517241
2022-08-29,0.0031578313253012103
2022-09-01,0.0559
2022-09-02,0.10079466666666666
2022-09-03,0.05480344827586206
2022-09-04,0.013177272727272727
2022-09-05,0.021118181818181817
2022-09-06,0.042445333333333335
2022-09-07,0.03999166666666667
2022-09-08,0.0754234375
2022-09-09,0.10004202898550725
2022-09-10,0.09525185185185185
2022-09-11,-0.019203999999999995
2022-09-12,0.12487108433734939
2022-09-13,0.1213719512195122
2022-09-14,0.06605952380952382
2022-09-15,0.039614666666666666
2022-09-16,0.1090774647887324
2022-09-17,0.059655555555555545
2022-09-18,0.09759259259259258
2022-09-19,0.18680540540540538
2022-09-20,0.13475189873417723
2022-09-21,0.12954933333333335
2022-09-22,0.05281086956521739
2022-09-23,0.006639534883720931
2022-09-24,0.0848967741935484
2022-09-25,0.211003125
2022-09-26,0.03370666666666666
2022-09-27,0.03338356164383562
2022-09-28,0.13473134328358208
2022-10-01,0.135175
2022-10-02,0.03534583333333333
2022-10-03,0.11870348837209303
2022-10-04,0.15591311475409836
2022-10-05,0.041436111111111104
2022-10-06,0.13355205479452054
2022-10-07,0.11983333333333333
2022-10-08,0.014625806451612908
2022-10-09,0.009141935483870966
2022-10-10,0.1049840425531915
2022-10-11,0.101959
2022-10-12,0.08417659574468085
2022-10-13,0.11462234042553192
2022-10-14,0.18634505494505493
2022-10-15,0.08819
2022-10-16,0.030414285714285713
2022-10-17,0.10934246575342466
2022-10-18,0.06043956043956044
2022-10-19,0.19092542372881355
2022-10-20,0.13775
2022-10-21,0.16175192307692307
2022-10-22,0.20303333333333334
2022-10-23,0.16675172413793102
2022-10-24,0.25300416666666664
2022-10-25,0.15698545454545454
2022-10-26,0.05143947368421052
2022-10-27,0.151813698630137
2022-10-28,0.12488080808080809
2022-10-29,-0.08614444444444444
2022-11-01,0.10212727272727273
2022-11-02,0.15963218390804598
2022-11-03,0.08758775510204082
2022-11-04,0.18107894736842106
2022-11-05,0.0832625
2022-11-06,0.106128
2022-11-07,0.19567319587628865
2022-11-08,0.10514848484848485
